122        ENCADREMENT ET ANIMATION DES HOMMES, COACHING
123        CONCEPTION, GESTION, CONDUITE DE PROJET
124        ORGANISATION, GESTION UNITE OU LIGNE DE PRODUCT.
125        AUTRES DOMAINES ADMINISTRATION D'ENTREPRISE
126        SPECIALITES PLURIVALENTES ECHANGES, GESTION
127        COMMERCE, MARKETING ET VENTES
128        FINANCES, BANQUES, ASSURANCES
129        COMPTABILITE, GESTION FINANCIERE, FISCALITE
130        AUTRES ECHANGES ET GESTION
131        SPECIALITES PLURIVALENTES TRANSPORT ET LOGISTIQUE
132        SERVICES ANNEXES DE TRANSPORT (TRANSIT,DOUANE)
133        MANUTENTION, LEVAGE, MAGASINAGE, ENTREPOSAGE
134        APPROVISIONNEMENT ACHAT, GESTION DES STOCKS
135        TRANSPORTS ROUTIERS
136        TRANSPORT FERROVIAIRE
137        TRANSPORT MARITIME ET FLUVIAL
138        TRANSPORT AERIEN
139        AUTRES TRANSPORT LOGISTIQUE
140        SPECIALITES PLURIVALENTES DE LA G.R.H.
141        ADMINISTRATION DU PERSONNEL
142        GESTION DU PERSONNEL
143        CONDITIONS DE TRAVAIL, ERGONOMIE
144        GESTION DE LA FORMATION CONTINUE
145        CODE DU TRAVAIL, CONVENTIONS COLLECTIVES
146        RELATIONS SOCIALES, GESTION DES CONFLITS
147        ANALYSE SOCIALE, AUDIT SOCIAL
148        AUTRES GESTION DES RESSOURCES HUMAINES
149        SPECIALITES PLURIVALENTES DE LA COMMUNICATION
150        SECRETARIAT ET BUREAUTIQUE
151        DOCUMENTATION, BIBLIOTHEQUES
152        JOURNALISME, PUBLICITE
153        TECHNIQUES DU SON ET DE L'IMAGE
154        EDITION, PRESSE, LIBRAIRIE
155        ARCHIVAGE
156        AUTRES DOMAINES DE COMMUNICATION
157        SPECIALITES PLURIVALENTES DE L'INFORMATIQUE
158        GENERALITES ET LOGICIELS DE BASE (TRAITEM.DE TEXTE
159        ANALYSE, CONDUITE DE PROJET INFORMATIQUE
